index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
845,603785987076155392,134.06504820257206,0.07960085,10.469565531675755,0.0456467,1.0054838725448327,0.10519099,9.55865,11.493557,-11.102049247796566,0.112280935,-2.97428217897188,0.081569284,1564.0549555659843,1.1315928,17.701736,490.6727956493828,9.521428,18.611563,1563.9952729285128,8.8185625,16.762306,,,0.0007855294774850336,0.02106853934487287,0.006121906341982915,1.8492570000000015,537
2857,603848521800034176,134.00490592396804,0.02064053,10.788134168977518,0.011423905,1.1873258503519075,0.027782317,42.736748,11.66338,-11.295201673411029,0.030634444,-2.907375788221469,0.021284984,21877.73689317741,4.0448503,14.837361,11137.599796571916,13.520887,15.221563,15319.236810927569,12.556026,14.284802,,,0.00020073558956211406,0.0013180682377240721,0.0008898962908099961,0.9367609999999988,537
7143,604003037543393920,134.6340723711599,0.29434866,11.514641208491284,0.2112925,1.0215645585115098,0.3477442,2.9376898,11.92718,-11.450768383904702,0.3878982,-3.3372932395684254,0.2995968,283.87664641230936,0.7716561,19.554543,62.798766487779325,4.206286,20.843664,349.6401166226977,6.705073,18.388842,,,0.0029513345883887777,0.07272303666435834,0.020821239227254082,2.454822,537
7759,604024585394575616,135.0828075895938,0.5820216,11.718627189167467,0.39269632,1.092837711275639,0.7607443,1.4365375,11.465279,-11.165366843704184,0.75144905,-2.605223250335136,0.5624534,155.6038964612702,0.71295273,20.207315,55.08256466597735,6.8092337,20.986008,191.07792854188503,7.716159,19.044868,,,0.004974673570817782,0.13421727182785995,0.04384448403800786,1.9411400000000008,537
9149,604612549237529600,133.69201553103994,0.015389023,11.018895035216705,0.00797963,1.0973473221218049,0.022130465,49.585373,11.496745,-11.121554488020791,0.023160335,-2.9131043704947315,0.014676942,40465.94799976976,6.121194,14.169642,21741.49120321135,13.01475,14.495319,26749.568889197704,13.216236,13.679604,,,0.0001642369021525468,0.0006499363423971899,0.0005364327916934194,0.8157150000000009,537
9720,604629248070309248,133.45876229017983,0.018507715,11.097317874138083,0.009390763,1.2005180246542753,0.022675557,52.943264,11.168301,-10.927040164274146,0.024909893,-2.3088371852537586,0.016570628,133442.2213385533,21.584791,12.874134,73374.44223198354,25.492044,13.17468,85708.7313992932,26.462431,12.415333,38.099216,1.8432229,0.00017562199449138385,0.0003772108415704277,0.00033521928202114075,0.759347,537
10221,604642717087722112,133.52212758676393,0.02467643,11.350849406971417,0.013957651,1.0682101485726596,0.03375853,31.642677,11.154887,-10.835197271255144,0.035469074,-2.651414995416382,0.02516663,12398.926299753464,2.5462978,15.453907,5742.682596472115,10.478667,15.940755,9542.259900061988,14.510003,14.798767,,,0.00022297154146411414,0.001981141730955755,0.0016509753196039788,1.1419879999999996,537
10238,604643198124051456,133.57881034167602,0.036908485,11.372932496633998,0.020128038,1.1928392157838232,0.05073609,23.510666,11.552886,-11.178313359170872,0.05176524,-2.9179582747128414,0.034186423,5918.362226802487,1.9508295,16.256863,2469.915701386092,6.2063527,16.856836,4902.383696593985,8.212208,15.521877,,,0.00035788384290978714,0.0027282153079584096,0.0018187665630495418,1.3349590000000013,537
10385,604647802329113600,134.02894979305182,0.016209211,11.325576745190777,0.008136843,1.118926613136931,0.022547962,49.62429,11.627371,-11.236547526138482,0.023493629,-2.989274148218993,0.01566302,49887.924662246754,7.7255154,13.942378,26949.29014203926,17.57864,14.262174,32906.81422624327,14.272729,13.45468,,,0.00016813430959464423,0.0007082103379278554,0.0004709182271325086,0.8074940000000002,537
10749,604659278481551872,134.13720396061268,0.05055587,11.471482651749868,0.030949596,1.1203188324503524,0.06814413,16.440432,11.701191,-11.294821135117196,0.06664064,-3.056939353402665,0.048260417,3833.410063429141,1.7094339,16.728403,1432.1890925610744,7.473934,17.448542,3422.1718411669467,8.326281,15.912141,,,0.0004841627282656596,0.0056659562469239385,0.002641639623101764,1.5364009999999997,537
10848,604662297843008512,133.76364702546303,0.20884763,11.343456614274803,0.11352384,0.9832208570795724,0.26293582,3.739395,11.415425,-11.042146497679507,0.29993865,-2.895331290602231,0.22021218,417.5780469729097,0.7114889,19.135523,80.63335261263619,4.9742975,20.572256,491.0779361252191,5.9858766,18.02002,,,0.0018499278484906832,0.06697941625884332,0.013234320794606637,2.5522360000000006,537
10923,604664909183072000,133.86440236274726,0.013750579,11.434907055646145,0.0075912764,1.1542324104117665,0.017618444,65.51273,11.522781,-11.148190655093064,0.019026536,-2.914162541870696,0.013868794,51047.57345912527,7.413838,13.917429,27779.1503648344,13.212981,14.229245,33196.201671137285,15.916002,13.445174,,,0.00015768569958094013,0.0005164237082874076,0.0005205589415799803,0.7840710000000009,537
11000,604667245645354752,133.71696930956,0.13287146,11.456240121414284,0.07688044,1.3579210219332052,0.17120707,7.9314537,11.652455,-11.189287765740968,0.18607526,-3.2526236424324653,0.14091837,734.5045966085271,0.8665242,18.52238,188.729385232724,6.4338484,19.648943,806.9872985433952,7.6088023,17.480728,,,0.0012808860565109662,0.037013113433243705,0.010237028695331675,2.168215,537
11428,604680134842856704,133.2033879571266,0.028547933,11.198337484463524,0.016834244,1.0790031720689646,0.03626094,29.756624,11.333542,-10.97060208752885,0.03776496,-2.84518352048773,0.027516043,11875.82411504634,3.0945482,15.500708,5614.298719800198,10.895721,15.965303,8899.283223216853,13.063395,14.874508,,,0.0002829161989568579,0.002107098207105099,0.0015937689084390555,1.090795,537
