index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
1270,1994737293648946944,359.7647621009473,0.24392605,56.02295143379266,0.2044266,0.4645984598928752,0.3378606,1.3751187,2.3218112,-0.9677715331934844,0.3176946,-2.110503556304223,0.2824531,255.72278892325028,0.70419544,19.667944,127.3814034402417,10.2746105,20.075777,178.59931896719175,7.7046194,19.118196,,,0.0029898410214157746,0.08757570813601064,0.04683771626250445,0.9575809999999976,1028
1694,1994738328742995072,359.938591117222,0.19245632,56.130401202643455,0.17431338,0.3625641550857609,0.2772825,1.3075624,2.1673813,-0.923798806223025,0.2575971,-1.960647105380508,0.22775005,334.7881088745302,0.77839726,19.375443,78.47305791033062,7.131341,20.60174,376.1430692154291,6.351644,18.309513,,,0.002524385019849259,0.09866768695344476,0.018334007495921893,2.2922270000000005,1028
2262,1994739806211397632,359.5522435721467,0.042917274,56.06060258676677,0.040299196,0.4377903862767128,0.060708907,7.211304,2.1856456,-0.922060394134818,0.053750645,-1.9816283252288809,0.049349803,3083.2451510179767,1.704902,16.964848,1442.584269086918,8.180587,17.44069,2354.844711877487,9.341386,16.31799,,,0.0006003654384580436,0.006156977912767285,0.004306985055814749,1.1226999999999983,1028
2321,1994739973708822016,359.58309343773254,0.18248542,56.08980399038446,0.15419552,0.438954257922079,0.2469316,1.777635,1.9376621,-0.8350002955753925,0.22711533,-1.7485162508427097,0.19417663,362.7521308644485,0.7997712,19.288342,155.89972276476675,4.7899327,19.856428,276.57012671139364,6.209917,18.643383,,,0.0023937572614489543,0.03335864399574284,0.02437838025246575,1.213045000000001,1028
2478,1994740282946612224,359.7418217581296,0.104239576,56.12639629378616,0.09506009,0.4587599423239577,0.14911635,3.0765235,1.9995726,-0.7996768276549984,0.13114929,-1.8327049688796355,0.12782413,679.7960830229026,0.9411717,18.60642,243.89878833443817,5.4437623,19.370518,614.2565859453083,6.340585,17.777021,,,0.001503192229410551,0.02423337097969844,0.011207373028409458,1.5934969999999993,1028
2992,1994741554257060224,359.95901496870164,0.20421202,56.17024525456381,0.18854241,0.3841980454465553,0.296151,1.2973045,2.1664143,-0.9194202619955042,0.26515046,-1.9616363539125123,0.24127547,307.5277248058065,0.77244,19.467657,101.72498932591364,5.751613,20.319973,279.1176424408826,3.799898,18.633427,,,0.002727123463528237,0.06138840132831277,0.014781175410156422,1.6865459999999999,1028
3124,1994741867789114496,359.87541650604174,0.2381791,56.16869863962512,0.21449089,0.5048489663425786,0.34402174,1.4674915,2.135071,-0.8412744485882576,0.32746527,-1.962341899244129,0.27933064,254.3035331564569,0.75276214,19.673986,95.21077749993486,5.744744,20.391827,231.85420193390965,5.759001,18.834858,,,0.0032138802745865663,0.06551019445116182,0.026968482075302773,1.5569689999999987,1028
3356,1994742486271298944,359.99591467473493,0.076093666,56.22613177839434,0.07757692,0.4809748203058778,0.116475984,4.1293907,2.065259,-0.9659771351330948,0.10270257,-1.82542665405125,0.10480282,1054.337232370387,1.1185392,18.129917,417.182778624468,4.9011283,18.787725,894.3130053829324,5.5572333,17.369171,,,0.001151850156283359,0.012755398142320545,0.006746731128564941,1.4185539999999968,1028
4046,1994772276165400192,358.9170426577835,0.017835947,56.073175573547,0.019831453,0.5417675280379096,0.027606983,19.624294,2.1240392,-0.9299588368752982,0.024425512,-1.9096384320374569,0.025585173,14359.47843455788,4.30758,15.29452,7222.863916700197,15.678618,15.691769,10292.23884798154,11.613548,14.71662,,,0.00032570093560198467,0.0023567996572403196,0.0012251221250825543,0.975149,1028
4584,1994773543174926848,359.01164643551056,0.09884524,56.15055933843109,0.0993781,0.4763230889854356,0.14848934,3.207793,2.3453438,-1.0372153875489794,0.13464873,-2.103526004766713,0.12974489,751.4886800775954,1.0062169,18.49756,329.4912600932971,5.9995904,19.043932,589.8139037982666,6.261336,17.821108,,,0.0014537625743832694,0.01976978845859172,0.01152593918450694,1.2228240000000028,1028
4965,1994775677779430528,358.74491786670285,0.021340141,56.138716570506254,0.022460744,0.4943289343496934,0.030790115,16.054794,2.2753768,-0.8629931013252052,0.02872246,-2.105369858159441,0.029600324,10729.049651947702,3.0959558,15.610964,5388.296390950604,10.388856,16.009914,7701.986075960598,11.254447,15.031388,,,0.00031329814004362513,0.0020933438450346236,0.001586520730097205,0.9785259999999987,1028
5213,1994776364974222592,358.93271399645613,0.0125369495,56.13858179397502,0.012979308,0.4662879368646414,0.018108537,25.749619,2.466712,-0.988079817130658,0.017408423,-2.260169479471627,0.017969482,31593.095287777323,6.5494337,14.438386,17171.351506234758,17.890915,14.751531,20774.89723890301,17.789015,13.954048,,,0.00022507947461241848,0.0011312338545220112,0.0009296882391465102,0.7974829999999997,1028
5448,1994776944794628224,358.7883931110954,0.03631389,56.13975848376801,0.038042415,0.4998233394407267,0.05145448,9.713893,2.35489,-1.1068311070552808,0.050967585,-2.078565025001222,0.05066812,3977.880901406636,2.1336057,16.688238,1892.6458538003872,7.738945,17.145868,2961.4375961407004,7.6534505,16.06914,,,0.0005823535225373773,0.0044395272133241305,0.0028059440826992896,1.0767279999999992,1028
5584,1994777322746196608,358.8764481965629,0.12718372,56.18885714176453,0.12893957,0.4073600304090174,0.18685445,2.1800928,2.1011248,-0.6235408385798811,0.17654459,-2.0064701573176493,0.18046828,543.3787860716006,0.9146742,18.84961,177.4711000056508,6.142981,19.715723,522.0151378576567,8.6514435,17.953688,,,0.0018276291234662202,0.037581650627222865,0.01799408628247621,1.762035000000001,1028
5703,1994777601924776192,359.0006440753447,0.022236837,56.20681974787218,0.021933233,0.483430692307566,0.03288091,14.702474,2.0820084,-0.600298161608828,0.030566808,-1.993590041397026,0.028757853,10043.605364485158,2.9963384,15.682643,5171.660520877636,12.766064,16.054466,7017.332976140903,12.350255,15.132465,,,0.00032391088304710674,0.0026801020332067795,0.001910856879256896,0.9220010000000016,1028
5909,1994778907595519616,359.1913259115444,0.0099971555,55.97715710443328,0.010130648,0.4619539360409515,0.016006818,28.859821,2.1503534,-0.8861553719867159,0.0136605315,-1.959272436078316,0.012774008,350944.2608628113,65.61798,11.824271,235995.4772594456,117.99698,11.906283,171841.25120337305,52.8495,11.660077,,,0.00020300607393874717,0.0005428646121776184,0.00033391642083340726,0.2462060000000008,1028
6632,1994781033596028928,359.4342654440134,0.22046079,56.06173476750471,0.18994276,0.4305088355287953,0.31845826,1.3518533,2.1348612,-0.864167359925185,0.28533497,-1.9521392291125297,0.24979548,276.2407766294305,0.7295777,19.584146,66.36721954391587,4.550847,20.783659,333.2336743957494,7.032335,18.441023,,,0.0028675307561011696,0.07444969646416175,0.02291263248629579,2.342635999999999,1028
7079,1994782206130339072,359.42807522853025,0.01192253,56.120274222719246,0.011887087,0.4894668431700248,0.017390698,28.145325,2.3983507,-1.046538273055734,0.014821062,-2.157972239386533,0.014088612,35566.24605215989,7.621257,14.309772,19160.63602638569,16.650433,14.632518,23616.11209573501,16.745394,13.814875,,,0.00023265527203886104,0.0009434957121519727,0.0007698591730525786,0.8176429999999986,1028
7538,1994783271282221696,359.1694916786766,0.09398579,56.0744957942833,0.09111856,0.4455885594045914,0.14052573,3.1708682,2.1128752,-0.6681629598793288,0.124720946,-2.00444494696078,0.11863295,796.7793756101398,0.97318244,18.434021,309.724296506382,10.138142,19.111105,675.4561084561155,8.098343,17.673903,,,0.001326112900617868,0.03553918095073365,0.013017373125467595,1.4372019999999992,1028
7550,1994783305641961984,359.1750061352984,0.06426827,56.072601272122704,0.06188095,0.5750773467359508,0.095384836,6.0290227,2.27285,-1.062461797153829,0.08377362,-2.009234242445358,0.080372766,1476.6611350930943,1.3102273,17.764164,627.4306543565308,8.395347,18.344627,1209.413854645223,12.221518,17.041458,,,0.0009633633487501569,0.014527712546585221,0.01097171536338624,1.3031690000000005,1028
